Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1996-08-31,1920.861266,623.819397,674.4816329,909.2870496,2918.53203,1219.463911,1829.870123,268.4540429,536.4599661,2082.394025,1068.138795,1961.973788,6200.324589,397.3407411,494.9612922
1996-09-30,1941.414482,623.757015,717.2437685,923.1082128,3228.771985,1259.584274,2013.040122,282.1451991,548.9058373,2178.808868,1123.468385,2078.122636,6245.586959,382.5993996,530.3510246
1996-10-31,1946.268018,615.8353009,724.774828,916.3695228,3188.089458,1234.896422,2127.984713,283.4712815,551.4856947,2239.161874,1152.566216,2108.671039,6294.302537,377.8169071,529.025147
1996-11-30,2074.52708,620.2693151,763.9126687,968.1444009,3633.465555,1260.829247,2276.730845,302.6622873,582.2585965,2356.717872,1206.506315,2216.424129,6466.766427,386.7711678,526.4329238
1996-12-31,2004.200612,631.1240281,766.8919282,993.6065986,3546.625729,1206.487507,2208.656593,294.4298731,570.031166,2375.807287,1266.71098,2170.54415,6500.393612,376.7151174,540.3833963
1997-01-31,2080.360235,665.8358497,816.2030791,1016.856993,3910.864191,1210.589564,2303.40796,315.1577361,574.3063997,2404.554555,1290.018462,2252.590719,7238.838326,364.3588616,575.184087
1997-02-28,2080.360235,680.5508219,839.6281075,1040.041332,3596.039624,1278.745757,2281.525585,300.8810907,588.0323227,2519.973173,1272.216207,2277.369217,7437.182497,425.0610479,593.1298305
1997-03-31,1980.294908,661.2231786,788.7466442,960.9981912,3408.326355,1271.712655,2213.30797,287.9432038,592.2073522,2407.58237,1259.239602,2228.178042,6951.53448,378.9419242,559.5586821
1997-04-30,2025.049573,639.1383244,855.3957356,985.4075452,3613.507602,1293.586113,2433.753444,290.7362529,587.7065763,2495.699885,1272.713466,2300.37101,7741.92395,356.7359275,536.6167762
1997-05-31,2158.09533,685.475853,925.1104881,1050.838606,3982.085377,1376.7637,2653.52138,314.4603311,629.1986606,2687.369636,1361.930679,2405.037891,8239.72966,383.7765108,563.5012767
1997-06-30,2238.376476,701.7216307,963.6875954,1090.560306,4020.711605,1467.492427,2834.491538,328.2336936,667.5797789,2777.396519,1414.092625,2553.428729,8245.497471,387.6910312,583.7873226
1997-07-31,2419.908809,722.9837961,1006.378956,1120.550714,4778.615743,1597.512256,3078.824708,338.7371718,700.0241561,2937.096818,1531.320903,2733.445454,8398.039174,394.9796226,601.9431083
1997-08-31,2454.029523,728.4061746,923.2520541,1095.002158,4747.076879,1551.02465,2787.567891,336.7047488,682.2435426,2844.284559,1419.381345,2609.347031,7339.046434,397.665484,564.7430242
